date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:29	8835/8835	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Feb%202019%2021:25:41%20GMT	http://duruthemes.com/demo/html/betty/onepage/js/jquery.waypoints.min.js	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/js/jquery.waypoints.min.js	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:57:30	3268/3268	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Feb%202019%2021:25:40%20GMT	http://duruthemes.com/demo/html/betty/onepage/js/sticky-kit.min.js	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/js/sticky-kit.min.js	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:57:30	22342/22342	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Feb%202019%2021:25:41%20GMT	http://duruthemes.com/demo/html/betty/onepage/js/jquery.flexslider-min.js	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/js/jquery.flexslider-min.js	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:57:31	51039/51039	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Feb%202019%2021:25:41%20GMT	http://duruthemes.com/demo/html/betty/onepage/js/bootstrap.min.js	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/js/bootstrap.min.js	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:57:31	85582/85582	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2007%20Feb%202020%2014:03:03%20GMT	http://duruthemes.com/demo/html/betty/onepage/js/jquery.min.js	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/js/jquery.min.js	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:57:31	20947/20947	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2008%20Feb%202020%2013:26:50%20GMT	http://duruthemes.com/demo/html/betty/onepage/js/jquery.magnific-popup.min.js	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/js/jquery.magnific-popup.min.js	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:57:31	10446/10446	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2014%20Apr%202020%2012:03:59%20GMT	http://duruthemes.com/demo/html/betty/onepage/js/main.js	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/js/main.js	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:57:32	42854/42854	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2006%20Jul%202019%2008:32:38%20GMT	http://duruthemes.com/demo/html/betty/onepage/js/owl.carousel.min.js	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/js/owl.carousel.min.js	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:57:36	32694/32694	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2013%20Feb%202019%2021:25:37%20GMT	http://duruthemes.com/demo/html/betty/onepage/fonts/et-line.eot	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/fonts/et-line.eot	(from http://duruthemes.com/demo/html/betty/onepage/css/et-lineicons.css)
22:57:37	175537/175537	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Feb%202019%2021:25:39%20GMT	http://duruthemes.com/demo/html/betty/onepage/fonts/et-line.svg	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/fonts/et-line.svg	(from http://duruthemes.com/demo/html/betty/onepage/css/et-lineicons.css)
22:57:38	32694/32694	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2013%20Feb%202019%2021:25:37%20GMT	http://duruthemes.com/demo/html/betty/onepage/fonts/et-line.eot?	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/fonts/et-lined41d.eot	(from http://duruthemes.com/demo/html/betty/onepage/css/et-lineicons.css)
22:57:38	32536/32536	---M--	200	added ('OK')	font/ttf	date:Wed,%2013%20Feb%202019%2021:25:36%20GMT	http://duruthemes.com/demo/html/betty/onepage/fonts/et-line.ttf	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/fonts/et-line.ttf	(from http://duruthemes.com/demo/html/betty/onepage/css/et-lineicons.css)
22:57:40	55220/55220	---M--	200	added ('OK')	font/woff	date:Wed,%2013%20Feb%202019%2021:25:39%20GMT	http://duruthemes.com/demo/html/betty/onepage/fonts/et-line.woff	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/fonts/et-line.woff	(from http://duruthemes.com/demo/html/betty/onepage/css/et-lineicons.css)
22:57:42	234269/234269	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Feb%202019%2021:25:38%20GMT	http://duruthemes.com/demo/html/betty/onepage/fonts/themify.svg	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/fonts/themify.svg	(from http://duruthemes.com/demo/html/betty/onepage/css/themify-icons.css)
22:57:48	56108/56108	---M--	200	added ('OK')	font/woff	date:Wed,%2013%20Feb%202019%2021:25:39%20GMT	http://duruthemes.com/demo/html/betty/onepage/fonts/themify.woff	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/fonts/themify.woff	(from http://duruthemes.com/demo/html/betty/onepage/css/themify-icons.css)
22:57:48	29026/29026	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2013%20Jul%202018%2006:37:27%20GMT	http://duruthemes.com/demo/html/betty/onepage/fonts/Flaticon.eot	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/fonts/Flaticon.eot	(from http://duruthemes.com/demo/html/betty/onepage/css/flaticon.css)
